id,name,address1,address2,city,zip_code,review_count,categories,rating,price
472db3cccc,Fresco Pizza Shawarma,1338 Polk St, , San Francisco,94109,18,"Italian, Middle",5,$
496b909166,Ben's Fast Food,60 Morris St, , San Francisco,94107,100+,"Healthy, American, Fast",0,$
498f041fec,Pizza County (Mission St),475 Fell Street, , San Francisco,94102,new,"American, Fast",0,$
4b905dd0b7,May Thai Kitchen,1319 Park Street, , San Francisco,94501,26,"Thai, Asian, Noodles",5,$
4bdf2e0912,Wrap N' Roll Pakistani Restaurant,2493 Telegraph Avenue, , San Francisco,94704,12,"Pakistani, Indian, Wraps",4,$
4c33b90343,Bread & Butter Deli,1815 Irving Street, , San Francisco,94122,new,"Salads, Vegetarian, American",0,$
50982f016e,Rose Indian Cuisine,1386 9th Ave, , San Francisco,94122,100+,"Indian, Vegetarian, Asian, Healthy, Alcohol, Group",0,$
52b146c74c,Mint Leaf Vietnamese Restaurant - Berkeley,2865 Seventh Street, , San Francisco,94710,19,"Vietnamese, Noodles, Healthy",5,$
53f093b436,Mission Chinese Food,2234 Mission St, , San Francisco,94110,22,"Chinese, Asian",5,$
540cba8772,Little Delhi,83 Eddy St, , San Francisco,94102,79,"Indian, Vegetarian",4,$
56acc54327,Curry corner,600 Linden Ave, , San Francisco,94080,59,"Indian, Vegetarian, Asian, Healthy, Alcohol",5,$
587682cced,Gourmet Village Chinese Restaurant,465 Broadway Millbrae, , San Francisco,0,new,"Chinese, Asian",0,$
5a0d8872d3,Thanh Tam II,577 Valencia Street, , San Francisco,94110,59,"Vietnamese, Asian, Salads, Group",5,$
5cd469dc77,Loaded Fries N' Wings (Valencia St),178 Valencia St, , San Francisco,94103,16,"Pizza, American, Italian",5,$
5dc31bf540,Late Night Cuisine,1109 Fillmore Street, , San Francisco,94115,15,"Indian, Himalayan, Biryani, Indian",5,$
5dfd73e2b3,SF Hole in the Wall Pasta,1825 Irving St., , San Francisco,94122,42,"Salads, American, Healthy, Pasta",5,$
5f2c68d8a4,Empire Philly Steak (Mission St),2020 Mission St, , San Francisco,94110,new,"American, Fast",0,$
5fb6eb3f82,Golden Gate Indian Cuisine & Pizza,4038 Judah St, , San Francisco,94122,new,"Pizza, Indian",0,$
601f14a1b8,F#ck Gluten  (SOMA),60 Morris St, , San Francisco,94107,15,"Healthy, Salads, Vegan, Gluten",5,$
6121b7edf4,Cafe La Boheme,3318 24th St, , San Francisco,94110,new,"Healthy, Salads, Sandwich, Alcohol",0,$
620464c5ea,Pizza Zone N Grill (Valencia St),178 Valencia St, , San Francisco,94103,75,"Burgers, Pizza, Wings, American, Vegetarian",5,$
62553699a1,Umami Express,60 Morris Street, , San Francisco,94107,47,"Healthy, Asian",5,$
62ff453221,Azucar Lounge,299 9th Street, , San Francisco,94103,new,"Mexican, Latin",0,$
63d9c804e8,SoHoMei,1240 Noriega St, , San Francisco,94122,new,"Vietnamese, Malaysian, Chinese",0,$
643146f756,Phuket I'm Vegan by Basil Cart,60 Morris Street, , San Francisco,94103,30,"Vegan, Asian, Thai",5,$
6480159957,Tad's Steak House,38 Ellis, , San Francisco,94102,47,"Burgers, American, Sandwiches",5,$
67b15d1dc5,Osha Thai - Embarcadero,4 Embarcadero Ctr, , San Francisco,94111,25,"Thai, Asian, Noodles, Rice",5,$
67e859d200,Vegan Falafel Spot (1338 Polk Street),1338 Polk Street, , San Francisco,94109,new,"Vegetarian, Vegan, Mediterranean, Healthy, Family",0,$
688c23e0b7,Clay Oven On Haight,233 Fillmore St, , San Francisco,94117,new,"Indian, Vegetarian, Asian, Healthy",0,$
68a7eaeecd,Alhamra Pizza,3083 16th St, , San Francisco,94103,new,"American, Pizza, Italian",0,$
6c53fcc508,Daydream Breakfast Burritos by Fresco Inc,1338 Polk St, , San Francisco,94109,new,"Mexican, Latin",0,$
6cc35229a1,Mixt (560 Mission),560 Mission Street, , San Francisco,94105,11,"American, Healthy, Salads, Vegetarian, Group",5,$
6cccfd8caf,Round Table Pizza (801 Van Ness Ave),801 Van Ness Avenue, , San Francisco,94109,52,"Pizza, Salads, Sandwich, Wings",5,$
6e362cdf4f,THONGLOR THAI,420 Geary St, , San Francisco,94102,100+,"Thai, Asian, Noodles, Group",0,$
6ead93aeba,Jade Cafe,1688 Bryant St, , San Francisco,94103,54,"Chinese, Asian, Asian",5,$
70230846f3,Trailer Birds Hot Chicken CA-3806,590 Van Ness Avenue, , San Francisco,94102,new,"American, Chicken, Sandwich",0,$
704a3bee1d,Avatar's Restaurant- Sausalito,2656 Bridgeway, , San Francisco,94965,new,"Indian, New",0,$
7074af3921,"Best Coast Burritos - Emeryville, CA",1400 Powell St, , San Francisco,94608,new,"Mexican, Kids",0,$
70c39f7ca0,Tuyêt Mai,547 Hyde Street, , San Francisco,94109,new,"Vietnamese, Noodles, Healthy",0,$
7180ce0fe9,Javi’s Cooking,3446 Market St, , San Francisco,94541,new,Latin,0,$
72eb7db31e,Mama Tran's Kitchen,5999 Mission Street, , San Francisco,94014,36,"Vietnamese, Pho, Noodles, Healthy",4,$
733a37a294,Tai Chi,2031 Polk Street, , San Francisco,94109,29,"Chinese, Asian, Asian",5,$
736fd42d45,Lava Wings (Mission st),2020 Mission St, , San Francisco,94110,new,"American, Fast",0,$
73a8f9eccb,El Toro Taqueria,598 Valencia St, , San Francisco,94110,11,"Mexican, Vegetarian",5,$
74918689a3,Naan n Curry (Oakland),1615 Clay St, , San Francisco,94612,37,"Indian, Vegetarian, Asian, Healthy",4,$
75d4f6339a,Falafelland,133 6th St, , San Francisco,94103,new,"Mediterranean, Greek, Vegetarian, Healthy",0,$
76765c79b9,Andersen Bakery,1390 Market Street, B, San Francisco,94102,new,"American, Breakfast",0,$
7769e2f8df,The Imperial Indian (1968 Lombard St),1968 Lombard St, , San Francisco,94123,new,"Indian, Pakistani, Chicken, Halal, Vegetarian",0,$
7a1ade4d1b,Irma's Pampanga Filipino Restaurant,2901 16th St, , San Francisco,94103,49,"Filipino, Asian, Noodles",5,$
